LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/ms),(micron/ms),(micron),(ms),(micron),(micron),(micron),
ID3964 → ID4156,0,3964,4156,0.10967339597891851,0.0020045954337438976,0.25166172556291494,2.0132938045033195,52.0,57.58456721791538,69.43848130644145,0.0,
ID4682 → ID5215,0,4682,5215,0.130328909065851,0.012504874666612095,0.41887905130855946,3.3510324104684757,228.0,18.381521943081893,70.69966606846984,0.0,
ID5300 → ID2614,0,5300,2614,0.17193232248778384,0.003861186911052135,0.27431855367651603,2.1945484294121282,28.0,64.45241782979711,69.2898942331658,0.0,
ID3030 → ID3274,0,3030,3274,1.3675657230919127,3.776329911648065E-4,0.13185458444313303,1.0548366755450642,124.0,36.48581577898466,71.98061843882502,0.0,
ID3800 → ID2642,0,3800,2642,1.3276865804863056,0.002794730592023522,0.29714179499199245,2.3771343599359396,260.0,6.56354207008566,72.44784190123139,0.0,
ID2614 → ID5132,0,2614,5132,0.22063778667133932,0.0116622819398259,0.30412581085783064,2.433006486862645,36.0,62.14414078097103,69.1723679075767,0.0,
ID4709 → ID4073,0,4709,4073,3.626510614940119,0.027169792949149327,0.21676425875294214,1.7341140700235371,284.0,0.0,76.01200006936456,0.0,
ID4347 → ID2884,0,4347,2884,0.07337641324449447,0.002248558327517535,0.2482376933796655,1.985901547037324,12.0,68.36593898161553,69.80760664206616,0.0,
ID2855 → ID4910,0,2855,4910,0.870353397724472,0.026996707982499146,0.14019127482719015,1.1215301986175212,172.0,35.69676939474789,71.00399195231935,0.0,
ID2976 → ID4199,0,2976,4199,0.06746407769757293,0.008710284271161375,0.3180564867320669,2.544451893856535,76.0,50.551743636056074,70.79454925019783,0.0,
ID2800 → ID2288,0,2800,2288,1.1830435563431563,0.018902072856702846,0.39841051054284177,3.187284084342734,92.0,45.9357498829415,71.91283679661004,0.0,
